Resource_ID,Resource_Type,Resource_Name,Provider,Topic,Subtopic,Difficulty_Level,Duration_Hours,Prerequisites,Cost_USD,URL,Key_Skills,Certification_Available,Last_Updated,Learning_Path
GA001,Course,Generative AI Engineering,IBM,Fundamentals,LLM Basics,Beginner,20,None,0,https://www.ibm.com/generative-ai,LLM Architecture;Transformers;Prompting,Yes,2025-01,Foundation
GA002,Course,Google Generative AI Essentials,Google,Fundamentals,LLM Basics,Beginner,15,None,0,https://cloud.google.com/generative-ai,Gen AI Concepts;Google AI Tools,Yes,2025-02,Foundation
GA003,Course,Transformer Models and Attention,DeepLearning.AI,Architecture,Transformers,Intermediate,10,ML Fundamentals,Free,https://www.deeplearning.ai,Attention Mechanism;Self-Attention;Positional Encoding,No,2025-01,Architecture
GA004,Course,Prompt Engineering Masterclass,Andrew Ng,Techniques,Prompt Design,Beginner,8,None,49,https://www.deeplearning.ai/short-courses/,Few-shot Learning;Chain-of-Thought;Role Prompting,No,2025-02,Intermediate
GA005,Course,Fine-tuning LLMs,DeepLearning.AI,Techniques,Model Adaptation,Intermediate,6,ML Fundamentals;LLM Basics,Free,https://www.deeplearning.ai/short-courses/,PEFT;LoRA;QLoRA;Fine-tuning,No,2025-01,Advanced
GA006,Course,Retrieval Augmented Generation (RAG),DeepLearning.AI,Applications,RAG Systems,Intermediate,4,LLM Basics;Vector Databases,Free,https://www.deeplearning.ai/short-courses/,Vector Search;Embeddings;RAG Pipeline,No,2025-02,Intermediate
GA007,Course,LangChain for LLM Applications,DeepLearning.AI,Tools,LangChain,Intermediate,5,Python;LLM Basics,Free,https://www.deeplearning.ai/short-courses/,Chains;Memory;Agents;Tools,No,2025-01,Intermediate
GA008,Course,Large Language Models: From Theory to Practice,Stanford,Theory,LLM Theory,Advanced,40,Advanced Math;Deep Learning,Free,https://cs224n.github.io/,Model Architecture;Training;Evaluation,No,2024-12,Advanced
GA009,Course,Hugging Face NLP Course,Hugging Face,Tools,Transformers Library,Beginner,25,Python,Free,https://huggingface.co/course,Transformers;Datasets;Evaluation,No,2025-02,Foundation
GA010,Course,OpenAI API Fundamentals,OpenAI,Tools,OpenAI API,Beginner,10,Python,Free,https://platform.openai.com/docs,API Integration;GPT Models;Completion,No,2025-01,Foundation
GA011,Course,Claude API & Prompt Engineering,Anthropic,Tools,Claude API,Beginner,8,Python,Free,https://docs.anthropic.com,API Usage;Prompt Techniques;Vision,No,2025-02,Foundation
GA012,Course,Building AI Agents,DeepLearning.AI,Applications,Autonomous Agents,Advanced,6,LLM Basics;LangChain,Free,https://www.deeplearning.ai/short-courses/,Agent Design;Tool Use;Planning,No,2025-02,Advanced
GA013,Course,Vector Databases for Gen AI,DataStax,Tools,Vector Databases,Intermediate,5,Databases;Python,Free,https://www.datastax.com/generative-ai,Vector Search;Embeddings;Storage,No,2025-01,Intermediate
GA014,Course,GenAI for Code Generation,GitHub & Microsoft,Applications,Code Generation,Intermediate,6,Programming,Free,https://github.com/features/copilot,Copilot;Code Understanding;Optimization,No,2025-02,Intermediate
GA015,Course,Ethical AI & Responsible Gen AI,Coursera,Concepts,Ethics & Safety,Beginner,8,None,Free,https://www.coursera.org/learn/ai-ethics-generative-ai,Bias;Safety;Fairness;Governance,Yes,2025-01,Foundation
GA016,Book,Attention Is All You Need,Research Paper,Architecture,Transformers,Advanced,12,Advanced Math,Free,https://arxiv.org/abs/1706.03762,Transformer Architecture;Multi-head Attention,No,2017-06,Advanced
GA017,Book,The Illustrated Transformer,Blog,Architecture,Transformers,Intermediate,3,None,Free,https://jalammar.github.io/illustrated-transformer/,Visual Learning;Attention;Positional Encoding,No,2020-03,Architecture
GA018,Tutorial,Building LLM Applications with LangChain,Real Python,Tools,LangChain,Intermediate,4,Python;LLM Basics,Free,https://realpython.com/langchain-llm-applications/,Integration;Chains;Memory,No,2024-12,Intermediate
