,Manufacturer,Category,Screen,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price
0,Dell,3,Full HD,1,1,3,39.624,2.0,4,256,2.2,634
1,Dell,3,Full HD,1,1,7,39.624,2.7,8,256,2.2,946
2,Dell,4,IPS Panel,2,1,5,33.782,1.6,8,128,1.22,1244
3,HP,4,Full HD,2,1,7,39.624,1.8,8,256,1.91,837
4,Dell,3,Full HD,1,1,5,39.624,1.6,8,256,2.2,1016
5,HP,3,Full HD,3,1,5,39.624,1.6,8,256,2.1,1117
6,Acer,3,IPS Panel,2,1,5,38.1,1.6,4,256,2.2,866
7,Dell,3,Full HD,1,1,5,39.624,2.5,4,256,2.3,812
8,Acer,3,IPS Panel,3,1,7,38.1,1.8,8,256,2.2,1068
9,Dell,3,Full HD,1,1,7,39.624,1.8,8,256,2.13,975
10,HP,3,Full HD,2,1,3,39.624,2.0,4,128,1.91,558
11,Asus,3,Full HD,2,2,3,39.624,2.0,4,256,2,527
12,Dell,4,Full HD,2,1,5,35.56,1.6,8,256,1.7,1117
13,Asus,3,Full HD,2,1,5,35.56,1.6,8,256,1.4,1195
14,HP,3,Full HD,2,1,5,39.624,2.5,8,256,1.86,876
15,Dell,4,IPS Panel,1,1,7,33.02,1.8,8,256,1.4,1213
16,Dell,3,Full HD,1,1,7,39.624,1.8,8,256,2.2,1105
17,Dell,4,IPS Panel,2,1,5,38.1,1.6,8,256,1.88,1392
18,HP,3,Full HD,2,1,5,35.56,1.6,8,256,1.63,1092
19,HP,4,IPS Panel,3,1,7,38.1,1.8,8,256,1.83,888
20,HP,3,Full HD,2,1,5,39.624,2.5,8,256,1.96,761
21,Dell,4,IPS Panel,2,1,7,33.02,1.8,8,256,1.21,2095
22,Dell,1,Full HD,3,1,5,39.624,2.5,8,256,2.65,1518
23,Asus,4,Full HD,2,1,7,35.56,2.7,8,256,1.25,1333
24,Dell,3,Full HD,1,2,3,39.624,2.0,4,256,2.2,616
25,Asus,3,Full HD,3,1,3,39.624,2.4,6,256,2,733
26,HP,3,Full HD,1,1,7,39.624,2.7,8,256,1.91,913
27,HP,4,IPS Panel,3,1,7,33.02,2.7,8,256,1.38,1421
28,HP,3,IPS Panel,3,1,5,35.56,2.5,6,256,,837
29,Asus,4,IPS Panel,3,1,7,35.56,2.7,8,256,1.3,1515
30,Lenovo,3,IPS Panel,2,1,7,35.56,2.7,8,256,1.58,1880
31,Dell,4,IPS Panel,2,1,5,33.02,1.6,8,256,1.21,2069
32,Asus,3,Full HD,3,1,7,39.624,1.8,8,256,1.7,1420
33,HP,3,Full HD,2,1,5,43.942,1.6,8,256,2.5,1179
34,Acer,4,IPS Panel,2,1,7,35.56,1.8,8,256,1.6,1123
35,Acer,3,Full HD,3,1,3,39.624,2.7,4,256,2.2,727
36,HP,3,Full HD,2,1,7,35.56,1.8,8,256,1.63,1255
37,HP,3,IPS Panel,2,1,5,33.02,2.5,4,256,,888
38,Lenovo,3,IPS Panel,1,1,5,35.56,1.6,8,256,1.75,1418
